assetOR,asset_id,idModulo,titulo,unidad,moduloOR
136233,168893,669653,Desafío: Los seres vivos,CN_06_04_CO,628226
135976,168945,669660,Desafío: El cuerpo humano,CN_06_05_CO,628175
137192,169032,669679,Desafío: La estructura de la materia,CN_06_10_CO,628553
137541,169096,669690,Desafío: La electricidad,CN_06_12_CO,628651
138102,169185,669699,Desafío: La Tierra en el sistema solar,CN_06_13_CO,628782
136179,169247,669707,Desafío: El reino animal: animales vertebrados,CN_07_01_CO,628223
135811,169327,669722,Desafío: El aparato excretor,CN_07_04_CO,628166
135940,169395,669732,Desafío: El aparato circulatorio,CN_07_05_CO,628173
135788,169460,669743,Desafío: El medio ambiente,CN_07_08_CO,628161
136124,169543,669761,Desafío: Las rocas y los minerales,CN_07_12_CO,628220
136306,169595,669765,Desafío: El universo y el sistema solar,CN_07_12_CO,628230
136814,169695,669788,Desafío: El reino de las plantas,CN_08_04_CO,628387
136179,169743,669792,Desafío: El reino animal: animales vertebrados,CN_08_04_CO,628223
136490,169835,669807,Desafío: La herencia de los caracteres,CN_08_06_CO,628308
137767,169905,669821,Desafío: Los cambios químicos,CN_08_09_CO,628749
136490,169982,669836,Desafío: La herencia de los caracteres,CN_09_01_CO,628308
136179,170046,669849,Desafío: El reino animal: animales vertebrados,CN_09_04_CO,628223
137600,170122,669860,Desafío: Los estados de la materia,CN_09_09_CO,628656
137294,170198,669872,Desafío: La fuerza,CN_09_12_CO,628565
137294,170268,669888,Desafío: La fuerza,CN_10_04_CO,628565
137400,170348,669904,Desafío: Los elementos químicos,CN_10_11_CO,628599
136584,170430,669926,Desafío: El planeta Tierra,CS_06_07_CO,628313
138999,170474,669930,Desafío: Los sistemas de representación del espacio,CS_06_07_CO,628919
138102,170551,669937,Desafío: La Tierra en el sistema solar,CS_06_08_CO,628782
138064,170621,669950,Desafío: La civilización romana,CS_06_14_CO,628780
138471,170979,670013,Desafío: El imperialismo y la Primera Guerra Mundial,CS_09_05_CO,628859
138471,171122,670044,Desafío: El imperialismo y la Primera Guerra Mundial,CS_11_01_CO,628859
138509,171034,670023,Desafío: El mundo reciente entre los siglos XX y XXI,CS_09_07_CO,628861
135811,168912,669657,Desafío: El aparato excretor,CN_06_05_CO,628166
137104,168986,669670,Desafío: Los ecosistemas,CN_06_07_CO,628486
137641,169043,669680,Desafío: La estructura de la materia,CN_06_10_CO,628661
138121,169198,669700,Desafío: La Tierra: sistemas de representación,CN_06_13_CO,628783
135903,169266,669711,Desafío: El aparato locomotor,CN_07_02_CO,628171
135940,169338,669723,Desafío: El aparato circulatorio,CN_07_04_CO,628173
135958,169406,669733,Desafío: El aparato digestivo: la nutrición y la alimentación,CN_07_05_CO,628174
136397,169471,669744,Desafío: La especie humana y el medio natural,CN_07_08_CO,628303
136143,169556,669762,Desafío: La geosfera,CN_07_12_CO,628221
136472,169632,669772,Desafío: El material genético y la biotecnología,CN_07_13_CO,628307
136839,169706,669789,Desafío: Los seres vivos,CN_08_04_CO,628394
136215,169756,669793,Desafío: El reino de las plantas,CN_08_04_CO,628225
136453,169852,669811,Desafío: La evolución biológica,CN_08_07_CO,628306
137005,169929,669828,Desafío: La electricidad,CN_08_12_CO,628456
136472,169999,669840,Desafío: El material genético y la biotecnología,CN_09_02_CO,628307
136197,170059,669850,Desafío: El reino animal: animales invertebrados,CN_09_04_CO,628224
106940,170145,669865,Desafío: Los estados de la materia,CN_09_10_CO,475108
137843,170215,669876,Desafío: Las unidades de medida,CN_10_01_CO,628754
137230,170291,669893,Desafío: La hidrostática,CN_10_07_CO,628555
137620,170359,669905,Desafío: Los elementos químicos,CN_10_11_CO,628658
138790,170441,669927,Desafío: El planeta Tierra,CS_06_07_CO,628908
138121,170564,669938,Desafío: La Tierra: sistemas de representación,CS_06_08_CO,628783
139308,170646,669955,Desafío: La Alta Edad Media (siglos V-XI),CS_07_01_CO,629006
135788,171184,670055,Desafío: El medio ambiente,CS_11_07_CO,628161
138471,170940,670007,Desafío: El imperialismo y la Primera Guerra Mundial,CS_09_02_CO,628859
138528,170990,670014,Desafío: El período de entreguerras,CS_09_05_CO,628862
138528,171133,670045,Desafío: El período de entreguerras,CS_11_01_CO,628862
136839,168882,669652,Desafío: Los seres vivos,CN_06_04_CO,628394
135958,168934,669659,Desafío: El aparato digestivo: la nutrición y la alimentación,CN_06_05_CO,628174
136434,169009,669672,Desafío: Los ecosistemas,CN_06_07_CO,628305
137804,169083,669689,Desafío: La electricidad,CN_06_12_CO,628751
136106,169234,669706,Desafío: El reino animal: funciones,CN_07_01_CO,628219
136179,169308,669718,Desafío: El reino animal: animales vertebrados,CN_07_03_CO,628223
135811,169384,669731,Desafío: El aparato excretor,CN_07_05_CO,628166
136306,169442,669739,Desafío: El universo y el sistema solar,CN_07_06_CO,628230
137943,169518,669756,Desafío: La fuerza y la presión,CN_07_11_CO,628766
136269,169582,669764,Desafío: La atmósfera,CN_07_12_CO,628228
136020,169672,669781,Desafío: La coordinación: los sistemas nervioso y endocrino,CN_08_02_CO,628184
136106,169730,669791,Desafío: El reino animal: funciones,CN_08_04_CO,628219
135885,169800,669800,Desafío: La reproducción y la sexualidad,CN_08_05_CO,628170
139480,169886,669817,Desafío: La población en el mundo,CN_08_08_CO,629015
137541,169953,669830,Desafío: La electricidad,CN_08_12_CO,628651
136106,170033,669848,Desafío: El reino animal: funciones,CN_09_04_CO,628219
106940,170103,669859,Desafío: Los estados de la materia,CN_09_09_CO,475108
137273,170187,669871,Desafío: La dinámica,CN_09_12_CO,628562
137273,170257,669887,Desafío: La dinámica,CN_10_04_CO,628562
137641,170319,669898,Desafío: La estructura de la materia,CN_10_10_CO,628661
138026,170405,669919,Desafío: Introducción a la historia y la prehistoria,CS_06_02_CO,628778
138961,170463,669929,Desafío: Las capas de la Tierra,CS_06_07_CO,628917
138045,170608,669949,Desafío: La civilización griega,CS_06_14_CO,628779
138159,170904,669999,Desafío: Los paisajes de la Tierra,CS_08_10_CO,628785
138359,171099,670039,Desafío: La población y los recursos,CS_10_06_CO,628823
138452,170836,669983,Desafío: El fin del Antiguo Régimen,CS_08_01_CO,628858
138490,171018,670019,Desafío: El mundo después de la Segunda Guerra Mundial,CS_09_06_CO,628860
138623,171161,670050,Desafío: La era de la globalización,CS_11_06_CO,628867
135940,168923,669658,Desafío: El aparato circulatorio,CN_06_05_CO,628173
135758,168997,669671,Desafío: Los ecosistemas,CN_06_07_CO,628150
137005,169072,669688,Desafío: La electricidad,CN_06_12_CO,628456
138359,169211,669701,Desafío: La población y los recursos,CN_06_13_CO,628823
136106,169295,669717,Desafío: El reino animal: funciones,CN_07_03_CO,628219
135958,169349,669724,Desafío: El aparato digestivo: la nutrición y la alimentación,CN_07_04_CO,628174
136287,169429,669738,Desafío: La Tierra en el universo,CN_07_06_CO,628229
137254,169507,669755,Desafío: La gravedad,CN_07_11_CO,628561
136251,169569,669763,Desafío: La hidrosfera,CN_07_12_CO,628227
136020,169649,669776,Desafío: La coordinación: los sistemas nervioso y endocrino,CN_08_01_CO,628184
136087,169717,669790,Desafío: El reino de las plantas: funciones,CN_08_04_CO,628217
136233,169769,669794,Desafío: Los seres vivos,CN_08_04_CO,628226
136472,169863,669812,Desafío: El material genético y la biotecnología,CN_08_07_CO,628307
137804,169940,669829,Desafío: La electricidad,CN_08_12_CO,628751
136453,170016,669844,Desafío: La evolución biológica,CN_09_03_CO,628306
139480,170084,669855,Desafío: La población en el mundo,CN_09_08_CO,629015
137600,170164,669866,Desafío: Los estados de la materia,CN_09_10_CO,628656
137254,170240,669883,Desafío: La gravedad,CN_10_03_CO,628561
137192,170308,669897,Desafío: La estructura de la materia,CN_10_10_CO,628553
137254,170382,669912,Desafío: La gravedad,CN_10_17_CO,628561
138847,170452,669928,Desafío: El universo,CS_06_07_CO,628911
137969,170589,669945,Desafío: El clima: factores y elementos,CS_06_11_CO,628775
139403,170659,669956,Desafío: La península Ibérica en la Alta Edad Media,CS_07_01_CO,629011
136397,171195,670056,Desafío: La especie humana y el medio natural,CS_11_07_CO,628303
138509,171076,670032,Desafío: El mundo reciente entre los siglos XX y XXI,CS_10_01_CO,628861
138528,170951,670008,Desafío: El período de entreguerras,CS_09_02_CO,628862
138661,170804,669978,Desafío: La Europa del siglo XVIII,CS_07_04_CO,628869
138699,171001,670015,Desafío: La Segunda Guerra Mundial,CS_09_05_CO,628871
138699,171144,670046,Desafío: La Segunda Guerra Mundial,CS_11_01_CO,628871
138718,170887,669995,Desafío: La sociedad industrial y sus ideologías,CS_08_06_CO,628872
139461,170718,669963,Desafío: La Plena Edad Media (siglos XI-XIII),CS_07_02_CO,629014
138642,170847,669984,Desafío: La era de las revoluciones liberales,CS_08_01_CO,628868
138680,170923,670003,Desafío: La revolución industrial y el primer capitalismo,CS_09_01_CO,628870
139423,170692,669961,Desafío: La península Ibérica en la Baja Edad Media,CS_07_02_CO,629012
139518,170772,669973,Desafío: Las monarquías autoritarias y los Imperios (siglo XVI),CS_07_03_CO,629017
138699,170962,670009,Desafío: La Segunda Guerra Mundial,CS_09_02_CO,628871
139327,170679,669960,Desafío: La Baja Edad Media (siglos XIV-XV),CS_07_02_CO,629007
139537,170731,669964,Desafío: Los inicios de la historia moderna (siglo XV),CS_07_02_CO,629018
138680,170870,669991,Desafío: La revolución industrial y el primer capitalismo,CS_08_05_CO,628870
139442,170705,669962,Desafío: La península Ibérica en la Plena Edad Media,CS_07_02_CO,629013
139480,171051,670027,Desafío: La población en el mundo,CS_09_10_CO,629015
139518,170791,669977,Desafío: Las monarquías autoritarias y los Imperios (siglo XVI),CS_07_04_CO,629017