Nombre recurso;LOID;ID;Página;Tipo;Enlace;Texto principal (original);Texto adicional (original);Texto principal;Texto adicional
Desafío: España: de la guerra de la Independencia a la crisis del 98;GH_10_NX_LL_Recurso990;131750;Escoge tu camino;Lista;;¡Peligro, nos invaden los franceses!;(Las tropas francesas en España);<em>¡Peligro, nos invaden los franceses!</em>;(Las tropas francesas en España)
Desafío: España: de la guerra de la Independencia a la crisis del 98;GH_10_NX_LL_Recurso990;131750;Escoge tu camino;Lista;;¡Viva la Pepa!;(La Constitución de 1812);<em>¡Viva la Pepa!</em>;(La Constitución de 1812)
Desafío: España: de la guerra de la Independencia a la crisis del 98;GH_10_NX_LL_Recurso990;131750;Escoge tu camino;Lista;;Y el pueblo dice no;(Los alzamientos populares del Dos de Mayo);<em>Y el pueblo dice no</em>;(Los alzamientos populares del Dos de Mayo)
Desafío: España: de la guerra de la Independencia a la crisis del 98;GH_10_NX_LL_Recurso990;131750;Escoge tu camino;Lista;;Un pasito adelante, dos para atrás;(El retorno al Antiguo Régimen);<em>Un pasito adelante, dos para atrás</em>;(El retorno al Antiguo Régimen)
Desafío: España: de la guerra de la Independencia a la crisis del 98;GH_10_NX_LL_Recurso990;131750;Escoge tu camino;Lista;;Revoluciones gloriosas;(La revolución de 1868: La Gloriosa);<em>Revoluciones gloriosas</em>;(La revolución de 1868: La Gloriosa)
Desafío: España: de la guerra de la Independencia a la crisis del 98;GH_10_NX_LL_Recurso990;131750;Escoge tu camino;Lista;;Si breve, ¿dos veces bueno?;(La Primera República española);<em>Si breve, ¿dos veces bueno?</em>;(La Primera República española)
Desafío: España: de la guerra de la Independencia a la crisis del 98;GH_10_NX_LL_Recurso990;131750;Escoge tu camino;Lista;;De vuelta a la normalidad;(El fin de la República);<em>De vuelta a la normalidad</em>;(El fin de la República)
Desafío: España: de la guerra de la Independencia a la crisis del 98;GH_10_NX_LL_Recurso990;131750;Escoge tu camino;Lista;;Un siglo después..., la revolución industrial ;(La revolución industrial en España);<em>Un siglo después..., la revolución industrial </em>;(La revolución industrial en España)
Desafío: España: de la guerra de la Independencia a la crisis del 98;GH_10_NX_LL_Recurso990;131750;Escoge tu camino;Enlace;https://www.ihistoriarte.com/2013/09/el-regreso-de-fernando-vii-el-deseado/;"El regreso de Fernando VII ""El deseado""";, artículos diversos sobre el siglo XIX en España.;"El regreso de Fernando VII ""El deseado""";, artículos diversos sobre el siglo XIX en España.
Desafío: España: de la guerra de la Independencia a la crisis del 98;GH_10_NX_LL_Recurso990;131750;Escoge tu camino;Enlace;http://www.rtve.es/alacarta/videos/memoria-de-espana/memoria-espana-sombra-revolucion/3286058/;A la sombra de la revolución;", documental sobre la monarquía de Carlos IV en ""Memorias de España"", de RTVE.";A la sombra de la revolución;", documental sobre la monarquía de Carlos IV en ""Memorias de España"", de RTVE."
Desafío: España: de la guerra de la Independencia a la crisis del 98;GH_10_NX_LL_Recurso990;131750;Escoge tu camino;Enlace;https://www.abc.es/historia/abci-traicion-fernando-espana-201806251930_video.html;La traición de Fernando VII a España;, video publicado por ABC Historia.;La traición de Fernando VII a España;, video publicado por <em>ABC Historia</em>.
Desafío: España: de la guerra de la Independencia a la crisis del 98;GH_10_NX_LL_Recurso990;131750;Escoge tu camino;Inglés;https://www.youtube.com/watch?v=wk9qypvWNgs;Spain in the Contemporary Ages (XIX century);, de Breakaleg.;Spain in the Contemporary Ages (XIX century);, de Breakaleg.
Desafío: España: de la guerra de la Independencia a la crisis del 98;GH_10_NX_LL_Recurso990;131750;Ve más allá;Lista;;¿Cien mil hijos?;;<em>¿Cien mil hijos?</em>;
Desafío: España: de la guerra de la Independencia a la crisis del 98;GH_10_NX_LL_Recurso990;131750;Ve más allá;Lista;;¿Las mujeres no pueden reinar?;;<em>¿Las mujeres no pueden reinar?</em>;
Desafío: España: de la guerra de la Independencia a la crisis del 98;GH_10_NX_LL_Recurso990;131750;Ve más allá;Lista;;Adiós, América;;<em>Adiós, América</em>;
Desafío: España: de la guerra de la Independencia a la crisis del 98;GH_10_NX_LL_Recurso990;131750;Ve más allá;Lista;;De constitución en constitución;;<em>De constitución en constitución</em>;
Desafío: España: de la guerra de la Independencia a la crisis del 98;GH_10_NX_LL_Recurso990;131750;Ve más allá;Lista;;El sindicalismo llega a España;;<em>El sindicalismo llega a España</em>;
Desafío: España: de la guerra de la Independencia a la crisis del 98;GH_10_NX_LL_Recurso990;131750;Meta;Título;;"¡Fin de siglo!
¿Serás capaz de superar la última prueba?";;"¡Fin de siglo!
¿Serás capaz de superar la última prueba?";
Desafío: España durante la dictadura y la democracia;GH_10_NX_LL_Recurso580;132217;Escoge tu camino;Lista;;Las etapas de la dictadura;;<em>Las etapas de la dictadura</em>;
Desafío: España durante la dictadura y la democracia;GH_10_NX_LL_Recurso580;132217;Escoge tu camino;Lista;;La Transición;;<em>La Transición</em>;
Desafío: España durante la dictadura y la democracia;GH_10_NX_LL_Recurso580;132217;Escoge tu camino;Lista;;La figura de Juan Carlos I;;<em>La figura de Juan Carlos I</em>;
Desafío: España durante la dictadura y la democracia;GH_10_NX_LL_Recurso580;132217;Escoge tu camino;Lista;;La Constitución de 1978;;<em>La Constitución de 1978</em>;
Desafío: España durante la dictadura y la democracia;GH_10_NX_LL_Recurso580;132217;Escoge tu camino;Lista;;La alternancia de poder entre PSOE y PP;;<em>La alternancia de poder entre PSOE y PP</em>;
Desafío: España durante la dictadura y la democracia;GH_10_NX_LL_Recurso580;132217;Escoge tu camino;Lista;;La llegada al trono de Felipe VI y el fin del bipartidismo;;<em>La llegada al trono de Felipe VI y el fin del bipartidismo</em>;
Desafío: España durante la dictadura y la democracia;GH_10_NX_LL_Recurso580;132217;Escoge tu camino;Enlace;https://www.youtube.com/watch?v=m4-zXW87zTQ;La historia del franquismo en 8 minutos;, video de animación sobre la dictadura franquista.;La historia del franquismo en 8 minutos;, video de animación sobre la dictadura franquista.
Desafío: España durante la dictadura y la democracia;GH_10_NX_LL_Recurso580;132217;Escoge tu camino;Enlace;https://www.youtube.com/watch?v=CUGcuMBB3RI;La Transición española (1975-1982);, video sobre el proceso de transición democrática.;La Transición española (1975-1982);, video sobre el proceso de transición democrática.
Desafío: España durante la dictadura y la democracia;GH_10_NX_LL_Recurso580;132217;Escoge tu camino;Enlace;https://www.europapress.es/nacional/noticia-asi-nacio-constitucion-espanola-1978-fruto-consenso-transicion-democracia-20141204075940.html;Así nació la Constitución española de 1978;, artículo sobre la redacción y aprobación de la Constitución.;Así nació la Constitución española de 1978;, artículo sobre la redacción y aprobación de la Constitución.
Desafío: España durante la dictadura y la democracia;GH_10_NX_LL_Recurso580;132217;Escoge tu camino;Enlace;https://www.youtube.com/watch?v=QmMM9E34lYE;30 años de España en la UE;, video de animación sobre la Unión Europea.;30 años de España en la UE;, video de animación sobre la Unión Europea.
Desafío: España durante la dictadura y la democracia;GH_10_NX_LL_Recurso580;132217;Ve más allá;Lista;;La figura de Francisco Franco;;<em>La figura de Francisco Franco</em>;
Desafío: España durante la dictadura y la democracia;GH_10_NX_LL_Recurso580;132217;Ve más allá;Lista;;Los apoyos a la dictadura y la oposición al régimen;;<em>Los apoyos a la dictadura y la oposición al régimen</em>;
Desafío: España durante la dictadura y la democracia;GH_10_NX_LL_Recurso580;132217;Ve más allá;Lista;;El primer Gobierno democrático después de la dictadura (UCD);;<em>El primer Gobierno democrático después de la dictadura (UCD)</em>;
Desafío: España durante la dictadura y la democracia;GH_10_NX_LL_Recurso580;132217;Meta;Título;;"Estás muy cerca del final.
¿Crees que podrás superar la última prueba?";;"Estás muy cerca del final.
¿Crees que podrás superar la última prueba?";